Product_Name,Price,Discount,Category
Dairy Whitener,₹89.3,,?q=dairy&nc=as
Miniatures Premium Assorted Chocolate - Diwali Gift Pack,₹520,,?q=dairy&nc=as
Heart Blush Valentine's Chocolate Gift Pack,₹266.25,,?q=dairy&nc=as
Bubbly Valentine's Gift Pack Chocolate Bar,₹351.01,,?q=dairy&nc=as
Pasteurized Table Butter,₹57,,?q=dairy&nc=as
Roast Almond Valentine's Gift Pack Chocolate Bar,₹351.98,,?q=dairy&nc=as
Dailycious PP Curd,₹34,,?q=dairy&nc=as
Cheese Slice - Processed Spread,₹301.5,,?q=dairy&nc=as
Dairy Milk Chocolate Bar - Crispello,,,?q=dairy&nc=as
100% Tender Coconut Water,₹109,39% OFF,?q=beverages&nc=as
Diet Coke Soft Drink,₹152,₹8 OFF,?q=beverages&nc=as
Tender Coconut Water - With Pulpy Malai,₹49,18% OFF,?q=beverages&nc=as
Fresh 'N' Juicy Mango Drink,₹37.6,6% OFF,?q=beverages&nc=as
Soft Drink,₹60.8,20% OFF,?q=beverages&nc=as
Soft Drink,₹67,11% OFF,?q=beverages&nc=as
"Fruit Fun - American Pineapple, 32 Glasses",₹35,30% OFF,?q=beverages&nc=as
"Real Activ Fruit + Veggie Orange & Carrot Beverage, With No Added Sugars/Preservative -1L",₹278.8,18% OFF,?q=beverages&nc=as
Soft Drink - Lime & Lemoni Flavoured,₹85,14% OFF,?q=beverages&nc=as
Kiwi With Goodness Of Nata De Coco - Naturally Twisted,₹30,21% OFF,?q=beverages&nc=as
Fruit Drink - Pulpy Orange,₹142.5,₹13 OFF,?q=beverages&nc=as
"Cold Extracted Juice - Basics, Aloe Vera Lemonade",₹237.5,5% OFF,?q=beverages&nc=as
Zero Sugar Jamun Juice,₹52.25,15% OFF,?q=beverages&nc=as
Mango Fruit Power Juice,₹204,28% OFF,?q=beverages&nc=as
Cold Extracted Juice - Grapefruit,₹722.5,35% OFF,?q=beverages&nc=as
Lemon Flavoured,₹234,₹5 OFF,?q=beverages&nc=as
"Zero Lemon Lime Sparkling Water - Carbonated Water, Sugar Free, No Calories",₹174.6,₹5 OFF,?q=beverages&nc=as
"Sparkling Water - Green Apple, Carbonated Water, Zero Sugar/Calories",₹174.6,17% OFF,?q=beverages&nc=as
Soft Drink - Orange Flavoured,₹399.6,6% OFF,?q=beverages&nc=as
Sparkling Water - Club Soda,₹56.4,₹18 OFF,?q=beverages&nc=as
Hommade Lemoneez - Goodness Of 33 Lemons,₹162,23% OFF,?q=beverages&nc=as
Aromatic Spiced Bitters - Non-alcoholic,₹1250,13% OFF,?q=beverages&nc=as
Orange Bitters - Non-alcoholic,₹1250,6% OFF,?q=beverages&nc=as
Strawberry With Goodness Of Nata De Coco - Naturally Twisted,₹30,19% OFF,?q=beverages&nc=as
Soft Drink - Zero Sugar,₹23.25,6% OFF,?q=beverages&nc=as
"Apple Juice - Rich In Vitamin D, No Added Preservatives",₹120,36% OFF,?q=beverages&nc=as
Mango Drink,₹174.8,14% OFF,?q=beverages&nc=as
Fizz Jeera Masala Soda,₹56.4,₹47 OFF,?q=beverages&nc=as
Swing Juicier Drink - Slurpy Mango,₹60,₹43 OFF,?q=beverages&nc=as
100% Natural Cold Pressed Juice - Mango,₹405,22% OFF,?q=beverages&nc=as
Club Soda - Evervess,₹18.8,36% OFF,?q=beverages&nc=as
Apple - with No Added Sugar,₹178.22,₹5 OFF,?q=beverages&nc=as
"Almond Milk - Unsweetened, Rich In Calcium",₹1019.52,28% OFF,?q=beverages&nc=as
Plant-Based Almond Beverage - Vanilla,₹552.9,₹23 OFF,?q=beverages&nc=as
Plant-Based Almond Beverage - Chocolate,₹506.82,,?q=beverages&nc=as
Milo RTD Cocoa Malt Drink With Millets - Chocolate Flavour,₹105.3,,?q=beverages&nc=as
"Fiber Plus Juice - Multi Fruit Beverage, No Added Sugars & Preservative",₹216.41,,?q=beverages&nc=as
"Fruit Beverage - No Added Sugar, Low Calories, Ginger Lemon",₹174.6,,?q=beverages&nc=as
"Almond Milk - Unsweetened, Dairy Free",₹1404,,?q=beverages&nc=as
Plant-Based Soy Beverage - Unsweetened,₹266.8,,?q=beverages&nc=as
Plant-Based Soy Beverage - Chocolate,₹270,,?q=beverages&nc=as
100% Tender Coconut Water,₹109,39% OFF,?q=beverages&nc=as
Diet Coke Soft Drink,₹152,₹8 OFF,?q=beverages&nc=as
Tender Coconut Water - With Pulpy Malai,₹49,18% OFF,?q=beverages&nc=as
Fresh 'N' Juicy Mango Drink,₹37.6,6% OFF,?q=beverages&nc=as
Soft Drink,₹60.8,20% OFF,?q=beverages&nc=as
Soft Drink,₹67,11% OFF,?q=beverages&nc=as
"Fruit Fun - American Pineapple, 32 Glasses",₹35,30% OFF,?q=beverages&nc=as
"Real Activ Fruit + Veggie Orange & Carrot Beverage, With No Added Sugars/Preservative -1L",₹278.8,18% OFF,?q=beverages&nc=as
Soft Drink - Lime & Lemoni Flavoured,₹85,14% OFF,?q=beverages&nc=as
Kiwi With Goodness Of Nata De Coco - Naturally Twisted,₹30,21% OFF,?q=beverages&nc=as
Fruit Drink - Pulpy Orange,₹142.5,₹13 OFF,?q=beverages&nc=as
